0,0.05,tensor(2.3482),tensor(0.8973),tensor(0.1542),tensor(3.0641),tensor(0.9700),tensor(0.0688)
0,0.05,tensor(2.4391),tensor(0.9082),tensor(0.1651),tensor(3.0482),tensor(0.9650),tensor(0.0582)
0,0.05,tensor(2.4159),tensor(0.8945),tensor(0.1354),tensor(2.9868),tensor(0.9573),tensor(0.1211)
0,0.05,tensor(2.3668),tensor(0.9009),tensor(0.1515),tensor(3.1705),tensor(0.9791),tensor(0.0641)
0,0.05,tensor(2.4409),tensor(0.9186),tensor(0.1374),tensor(3.0473),tensor(0.9709),tensor(0.0861)
0,0.05,tensor(2.3414),tensor(0.8918),tensor(0.1758),tensor(3.0336),tensor(0.9664),tensor(0.0886)
0,0.05,tensor(2.3964),tensor(0.9050),tensor(0.1465),tensor(2.9541),tensor(0.9627),tensor(0.1311)
0,0.05,tensor(2.4709),tensor(0.9195),tensor(0.1308),tensor(3.2614),tensor(0.9732),tensor(0.0479)
0,0.05,tensor(2.4414),tensor(0.9118),tensor(0.1621),tensor(3.1200),tensor(0.9723),tensor(0.0875)
0,0.05,tensor(2.4223),tensor(0.9082),tensor(0.1196),tensor(3.2832),tensor(0.9855),tensor(0.0589)
0,0.1,tensor(2.3736),tensor(0.9023),tensor(0.0983),tensor(2.6100),tensor(0.9295),tensor(0.0844)
0,0.1,tensor(2.4373),tensor(0.9091),tensor(0.2155),tensor(2.5941),tensor(0.9241),tensor(0.2155)
0,0.1,tensor(2.3868),tensor(0.8941),tensor(0.1912),tensor(2.5432),tensor(0.9132),tensor(0.1498)
0,0.1,tensor(2.3691),tensor(0.8973),tensor(0.1987),tensor(2.5518),tensor(0.9209),tensor(0.1768)
0,0.1,tensor(2.4205),tensor(0.9105),tensor(0.1716),tensor(2.5082),tensor(0.9245),tensor(0.1315)
0,0.1,tensor(2.3650),tensor(0.8950),tensor(0.1578),tensor(2.8000),tensor(0.9368),tensor(0.1032)
0,0.1,tensor(2.3468),tensor(0.8950),tensor(0.2778),tensor(2.6714),tensor(0.9327),tensor(0.1684)
0,0.1,tensor(2.4145),tensor(0.9095),tensor(0.1515),tensor(2.9141),tensor(0.9627),tensor(0.1481)
0,0.1,tensor(2.4150),tensor(0.9109),tensor(0.1736),tensor(2.8286),tensor(0.9541),tensor(0.0758)
